YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,TLS,Toulouse-Blagnac Airport,France,43.629101,1.36382,98991,0.19474954701858552
2017,TNF,Toussus-le-Noble Airport,France,48.75189972,2.106189966,9914,0.01950426815712799
2017,TOJ,Madrid-Torrejon Airport,Spain,40.49670029,-3.445869923,1846,0.003631720699824316
2017,TRD,Trondheim Airport,Norway,63.4578018,10.9239998,56594,0.11133997902809173
2017,TRN,Turin Airport (Caselle Airport),Italy,45.200802,7.64963,43853,0.0862740237537355
2017,TSF,Treviso-Sant'Angelo Airport,Italy,45.648399,12.1944,19706,0.03876852010332501
2017,TUF,Tours Val de Loire Airport,France,47.43220139,0.727605999,3195,0.006285670442003624
2017,TXL,Berlin Tegel Airport,Germany,52.5597,13.2877,171882,0.33815136366587384
2017,UIP,Quimper-Cornouaille Airport,France,47.97499847,-4.167789936,2488,0.004894756826198753
2017,VCE,Venice Marco Polo Airport,Italy,45.505299,12.3519,92147,0.18128503105455648
2017,VDE,El Hierro Airport,Spain,27.81480026,-17.88710022,3813,0.007501490264588362
2017,VGO,Vigo-Peinador Airport,Spain,42.23180008,-8.62677002,10446,0.02055089622446631
2017,VIE,Vienna International Airport,Austria,48.11029816,16.56970024,240095,0.47234993576615336
2017,VIT,Vitoria Airport,Spain,42.88280106,-2.7244699,7496,0.014747225550315858
2017,VLC,Valencia Airport,Spain,39.4893,-0.481625,61146,0.12029533798020456
2017,VLL,Valladolid Airport,Spain,41.70610046,-4.851940155,2706,0.005323638252288515
2017,VNO,Vilnius Airport,Lithuania,54.634102,25.285801,38665,0.07606743275119565
2017,VNT,Ventspils International Airport,Latvia,57.35779953,21.5442009,11,2.164080590361185e-05
2017,WAT,Waterford Airport,Ireland,52.18719864,-7.086959839,433,0.0008518608142058119
2017,WAW,Warsaw Chopin Airport,Poland,52.16569901,20.96710014,171059,0.3365322379150854
2017,WMI,Warsaw Modlin Airport,Poland,52.451099,20.6518,18836,0.03705692909094844
2017,WRO,Copernicus Airport Wroclaw,Poland,51.10269928,16.88579941,26605,0.05234124009687212
2017,XCR,Chalons Vatry Airport,France,48.77333333,4.206111111,4270,0.008400567382583874
2017,XRY,Jerez Airport (La Parra Airport),Spain,36.74459839,-6.060110092,15142,0.02978955299931733
2017,ZAG,Franjo Tudman Airport,Croatia,45.74290085,16.06879997,41058,0.08077529170822685
2017,ZAZ,Zaragoza Airport,Spain,41.66619873,-1.04155004,7856,0.015455470107161336
2017,ZRH,Zurich Airport,Switzerland,47.464699,8.54917,263549,0.5184920686446364
2017,ZTH,Zakynthos International Airport (Dionysios SolomosAirport),Greece,37.7509,20.8843,12349,0.024294755645791158
2018,ABC,Albacete Airport,Spain,38.94850159,-1.863520026,667,0.0013024825277924777
2018,ABZ,Aberdeen Airport,United Kingdom,57.20190048,-2.197779894,56336,0.11000997853930587
2018,ACE,Lanzarote Airport,Spain,28.945499,-13.6052,59533,0.11625291203458706
2018,ADB,Adnan Menderes Airport,Türkiye,38.29240036,27.15699959,84081,0.16418895565115338
2018,AES,Alesund Airport,Norway,62.5625,6.119699955,14550,0.028412474931605022
2018,AGA,Agadir-Al Massira Airport,Morocco,30.32500076,-9.413069725,16600,0.03241560713846346
2018,AGF,Agen La Garenne Airport,France,44.17470169,0.590556026,4395,0.008582324902020898
2018,AGP,Malaga Airport,Spain,36.67490005,-4.499110222,137509,0.26852034469897423
